Rank,Title,Artist
1,Baddie,IVE (아이브)
2,Love Lee,AKMU (악뮤)
3,Seven (feat. Latto) - Clean Ver.,정국
4,후라이의 꿈,AKMU (악뮤)
5,You & Me,제니 (JENNIE)
6,사랑은 늘 도망가,임영웅
7,Either Way,IVE (아이브)
8,Do or Die,임영웅
9,"Smoke (Prod. Dynamicduo, Padi)",다이나믹 듀오
10,모래 알갱이,임영웅
11,우리들의 블루스,임영웅
12,헤어지자 말해요,박재정
13,Standing Next to You,정국
14,다시 만날 수 있을까,임영웅
15,음악의 신,세븐틴 (SEVENTEEN)
16,I AM,IVE (아이브)
17,Super Shy,NewJeans
18,이제 나만 믿어요,임영웅
19,무지개,임영웅
20,Fast Forward,전소미
21,ETA,NewJeans
22,London Boy,임영웅
23,Polaroid,임영웅
24,사막에서 꽃을 피우듯,우디 (Woody)
25,아버지,임영웅
26,인생찬가,임영웅
27,A bientot,임영웅
28,I Love My Body,화사 (HWASA)
29,Get A Guitar,RIIZE
30,연애편지,임영웅
31,잠시라도 우리,성시경
32,Off The Record,IVE (아이브)
33,퀸카 (Queencard),(여자)아이들
34,3D (feat. Jack Harlow),정국
35,Hype Boy,NewJeans
36,Bubble,STAYC(스테이씨)
37,Perfect Night,LE SSERAFIM (르세라핌)
38,Dynamite,방탄소년단
39,Ditto,NewJeans
40,"잘 지내자, 우리 (여름날 우리 X 로이킴)",로이킴
41,손오공,세븐틴 (SEVENTEEN)
42,Kitsch,IVE (아이브)
43,너의 모든 순간,성시경
44,"이브, 프시케 그리고 푸른 수염의 아내",LE SSERAFIM (르세라핌)
45,Spicy,aespa
46,"어떻게 이별까지 사랑하겠어, 널 사랑하는 거지",AKMU (악뮤)
47,봄날,방탄소년단
48,파이팅 해야지 (Feat. 이영지),부석순 (SEVENTEEN)
49,Yes or No,정국
50,Steal The Show (From “엘리멘탈”),Lauv
51,LOVE DIVE,IVE (아이브)
52,사건의 지평선,윤하 (YOUNHA)
53,I Don't Think That I Like Her,Charlie Puth
54,사랑인가 봐,멜로망스
55,Butter,방탄소년단
56,Hate You,정국
57,After LIKE,IVE (아이브)
58,사랑하지 않아서 그랬어,임한별
59,인사,범진
60,별 떨어진다 (I Do),디오 (D.O.)
61,OMG,NewJeans
62,심(心),DK(디셈버)
63,물론,허각
64,Still With You,정국
65,Dangerously,Charlie Puth
66,UNFORGIVEN (feat. Nile Rodgers),LE SSERAFIM (르세라핌)
67,Summer (Feat. BE’O (비오)),Paul Blanco
68,Too Sad to Dance,정국
69,주저하는 연인들을 위해,잔나비
70,Attention,NewJeans
71,취중고백,김민석 (멜로망스)
72,나에게 그대만이,탑현
73,Please Don't Change (feat. DJ Snake),정국
74,다정히 내 이름을 부르면,경서예지
75,Closer to You (feat. Major Lazer),정국
76,Somebody,정국
77,Shot Glass of Tears,정국
78,CAKE,ITZY (있지)
79,해요 (2022),#안녕
80,STAY,The Kid LAROI
81,"이쁜 여자가 좋더라 (Feat. Gist, Jayci yucca)",릴러말즈 (Leellamarz)
82,그중에 그대를 만나,김호중
83,New Jeans,NewJeans
84,KIDDING,이세계아이돌
85,폼미쳤다,영탁
86,CRUSH (가시),ZEROBASEONE (제로베이스원)
87,꽃,지수 (JISOO)
88,Chili,화사 (HWASA)
89,사랑..그게 뭔데,지아
90,건물 사이에 피어난 장미 (Rose Blossom),H1-KEY (하이키)
91,Take Two,방탄소년단
92,Teddy Bear,STAYC(스테이씨)
93,Vancouver 2,BIG Naughty (서동현)
94,In Bloom,ZEROBASEONE (제로베이스원)
95,"밤, 바다",최유리
96,사실말야내가말야그게그러니까말이야,케이시 (Kassy)
97,Baggy Jeans,NCT U
98,Fact Check (불가사의; 不可思議),NCT 127
99,Permission to Dance,방탄소년단
100,SOS (Prod. Marshmello),세븐틴 (SEVENTEEN)
