Rank,Title,Artist
1,Baddie,IVE (아이브)
2,Love Lee,AKMU (악뮤)
3,후라이의 꿈,AKMU (악뮤)
4,You & Me,제니 (JENNIE)
5,Seven (feat. Latto) - Clean Ver.,정국
6,Either Way,IVE (아이브)
7,"Smoke (Prod. Dynamicduo, Padi)",다이나믹 듀오
8,헤어지자 말해요,박재정
9,I AM,IVE (아이브)
10,Super Shy,NewJeans
11,ETA,NewJeans
12,Fast Forward,전소미
13,사막에서 꽃을 피우듯,우디 (Woody)
14,음악의 신,세븐틴 (SEVENTEEN)
15,I Love My Body,화사 (HWASA)
16,Get A Guitar,RIIZE
17,퀸카 (Queencard),(여자)아이들
18,잠시라도 우리,성시경
19,Bubble,STAYC(스테이씨)
20,Hype Boy,NewJeans
21,Off The Record,IVE (아이브)
22,Standing Next to You,정국
23,Ditto,NewJeans
24,"잘 지내자, 우리 (여름날 우리 X 로이킴)",로이킴
25,너의 모든 순간,성시경
26,사랑은 늘 도망가,임영웅
27,Perfect Night,LE SSERAFIM (르세라핌)
28,"이브, 프시케 그리고 푸른 수염의 아내",LE SSERAFIM (르세라핌)
29,Kitsch,IVE (아이브)
30,Spicy,aespa
31,"어떻게 이별까지 사랑하겠어, 널 사랑하는 거지",AKMU (악뮤)
32,Steal The Show (From “엘리멘탈”),Lauv
33,사건의 지평선,윤하 (YOUNHA)
34,I Don't Think That I Like Her,Charlie Puth
35,사랑인가 봐,멜로망스
36,LOVE DIVE,IVE (아이브)
37,사랑하지 않아서 그랬어,임한별
38,인사,범진
39,After LIKE,IVE (아이브)
40,손오공,세븐틴 (SEVENTEEN)
41,심(心),DK(디셈버)
42,OMG,NewJeans
43,물론,허각
44,Dangerously,Charlie Puth
45,Summer (Feat. BE’O (비오)),Paul Blanco
46,주저하는 연인들을 위해,잔나비
47,취중고백,김민석 (멜로망스)
48,UNFORGIVEN (feat. Nile Rodgers),LE SSERAFIM (르세라핌)
49,별 떨어진다 (I Do),디오 (D.O.)
50,3D (feat. Jack Harlow),정국
51,Attention,NewJeans
52,파이팅 해야지 (Feat. 이영지),부석순 (SEVENTEEN)
53,나에게 그대만이,탑현
54,다정히 내 이름을 부르면,경서예지
55,Do or Die,임영웅
56,해요 (2022),#안녕
57,Dynamite,방탄소년단
58,CAKE,ITZY (있지)
59,우리들의 블루스,임영웅
60,STAY,The Kid LAROI
61,Still With You,정국
62,모래 알갱이,임영웅
63,꽃,지수 (JISOO)
64,"이쁜 여자가 좋더라 (Feat. Gist, Jayci yucca)",릴러말즈 (Leellamarz)
65,사랑..그게 뭔데,지아
66,New Jeans,NewJeans
67,건물 사이에 피어난 장미 (Rose Blossom),H1-KEY (하이키)
68,Chili,화사 (HWASA)
69,다시 만날 수 있을까,임영웅
70,봄날,방탄소년단
71,Teddy Bear,STAYC(스테이씨)
72,Vancouver 2,BIG Naughty (서동현)
73,사실말야내가말야그게그러니까말이야,케이시 (Kassy)
74,Butter,방탄소년단
75,이제 나만 믿어요,임영웅
76,"밤, 바다",최유리
77,Baggy Jeans,NCT U
78,KIDDING,이세계아이돌
79,ANTIFRAGILE,LE SSERAFIM (르세라핌)
80,무지개,임영웅
81,그대만 있다면 (여름날 우리 X 너드커넥션 (Nerd Connection)),너드커넥션 (Nerd Connection)
82,미친 사랑의 노래,김연지
83,I WANT,IVE (아이브)
84,"모든 날, 모든 순간 (Every day, Every Moment)",폴킴
85,Yes or No,정국
86,Fact Check (불가사의; 不可思議),NCT 127
87,London Boy,임영웅
88,아버지,임영웅
89,달빛에 그려지는,미연 ((여자)아이들)
90,Hate You,정국
91,Polaroid,임영웅
92,인생찬가,임영웅
93,가을 타나 봐,바이브
94,민들레 (single ver.),우효
95,Somebody,디오 (D.O.)
96,That's Hilarious,Charlie Puth
97,폼미쳤다,영탁
98,거리에서 (Feat. ASH ISLAND),릴러말즈 (Leellamarz)
99,Love Me Again,V
100,A bientot,임영웅
