Rank,Title,Artist
1,Do or Die,임영웅
2,Baddie,IVE (아이브)
3,Love Lee,AKMU (악뮤)
4,Standing Next to You,정국
5,후라이의 꿈,AKMU (악뮤)
6,You & Me,제니 (JENNIE)
7,Either Way,IVE (아이브)
8,음악의 신,세븐틴 (SEVENTEEN)
9,"Smoke (Prod. Dynamicduo, Padi)",다이나믹 듀오
10,3D (feat. Jack Harlow),정국
11,Yes or No,정국
12,Fast Forward,전소미
13,Hate You,정국
14,Get A Guitar,RIIZE
15,I Love My Body,화사 (HWASA)
16,Off The Record,IVE (아이브)
17,Too Sad to Dance,정국
18,잠시라도 우리,성시경
19,Perfect Night,LE SSERAFIM (르세라핌)
20,Please Don't Change (feat. DJ Snake),정국
21,Bubble,STAYC(스테이씨)
22,Somebody,정국
23,Closer to You (feat. Major Lazer),정국
24,Shot Glass of Tears,정국
25,CRUSH (가시),ZEROBASEONE (제로베이스원)
26,별 떨어진다 (I Do),디오 (D.O.)
27,폼미쳤다,영탁
28,편지 한 장 (부제: 서른에 만난 첫 세상) (A letter),김호중
29,MELTING POINT,ZEROBASEONE (제로베이스원)
30,KIDDING,이세계아이돌
31,SOS (Prod. Marshmello),세븐틴 (SEVENTEEN)
32,Take My Hand,ZEROBASEONE (제로베이스원)
33,Good Night,ZEROBASEONE (제로베이스원)
34,Kidz Zone,ZEROBASEONE (제로베이스원)
35,Love Me Again,V
36,여섯 번째 여름,PLAVE
37,"이쁜 여자가 좋더라 (Feat. Gist, Jayci yucca)",릴러말즈 (Leellamarz)
38,Diamond Days,세븐틴 (SEVENTEEN)
39,Slow Dancing,V
40,Fact Check (불가사의; 不可思議),NCT 127
41,Chili,화사 (HWASA)
42,Monster,세븐틴 (SEVENTEEN)
43,"밤, 바다",최유리
44,I Just Love Ya,PLAVE
45,Back 2 Back,세븐틴 (SEVENTEEN)
46,Vancouver 2,BIG Naughty (서동현)
47,Dear. PLLI,PLAVE
48,하품,세븐틴 (SEVENTEEN)
49,Baggy Jeans,NCT U
50,Headliner,세븐틴 (SEVENTEEN)
51,왜요 왜요 왜?,PLAVE
52,그대만 있다면 (여름날 우리 X 너드커넥션 (Nerd Connection)),너드커넥션 (Nerd Connection)
53,달빛에 그려지는,미연 ((여자)아이들)
54,Somebody,디오 (D.O.)
55,미친 사랑의 노래,김연지
56,꽃구경,황영웅
57,값,영탁
58,꽃비,황영웅
59,Chasing That Feeling,투모로우바이투게더
60,로렐라이,영탁
61,우길걸우겨,영탁
62,인사동 찻집,황영웅
63,올려,영탁
64,풀리나,영탁
65,"이별해, 예쁘게",영탁
66,돌아가네,영탁
67,톡톡톡,영탁
68,황금빛 인생,황영웅
69,함께해요,황영웅
70,아버지의 노래,황영웅
71,니편이야,영탁
72,Guilty,태민 (TAEMIN)
73,Talk Saxy,RIIZE
74,각자도생,영탁
75,Screen Time (Feat. Hoshi of SEVENTEEN),에픽하이 (EPIK HIGH)
76,거리에서 (Feat. ASH ISLAND),릴러말즈 (Leellamarz)
77,Better Things,aespa
78,TOO MUCH,The Kid LAROI
79,Rainy Days,V
80,Someday,박은빈
81,Right Now (Feat. Crush),쿠기 (Coogie)
82,밤 (Night),dori
83,영화 같은 사랑 (말하고 싶은 비밀 X 임한별),임한별
84,Memories,RIIZE
85,Click Like (Prod. Crush) (Feat. Paul Blanco),Crush
86,Happily Ever After,투모로우바이투게더
87,너라는 꽃이 피어나,V.O.S
88,GODS,NewJeans
89,OVER,이세계아이돌
90,물수제비,투모로우바이투게더
91,너 밖엔 없더라,케이시 (Kassy)
92,Superhero,이세계아이돌
93,The Rizzness,태민 (TAEMIN)
94,아가씨,수진
95,나쁜 X (Feat. CHANGMO),릴러말즈 (Leellamarz)
96,Blue,태민 (TAEMIN)
97,Paint The Town Red,Doja Cat
98,뭐 어떡할까,기리보이
99,제자리 (Not Over You),태민 (TAEMIN)
100,"She Loves Me, She Loves Me Not",태민 (TAEMIN)
