Rank,Title,Artist
1,Love Lee,AKMU (악뮤)
2,Baddie,IVE (아이브)
3,후라이의 꿈,AKMU (악뮤)
4,You & Me,제니 (JENNIE)
5,Either Way,IVE (아이브)
6,"Smoke (Prod. Dynamicduo, Padi)",다이나믹 듀오
7,Seven (feat. Latto) - Clean Ver.,정국
8,헤어지자 말해요,박재정
9,ETA,NewJeans
10,Fast Forward,전소미
11,Super Shy,NewJeans
12,사막에서 꽃을 피우듯,우디 (Woody)
13,I AM,IVE (아이브)
14,I Love My Body,화사 (HWASA)
15,음악의 신,세븐틴 (SEVENTEEN)
16,Get A Guitar,RIIZE
17,퀸카 (Queencard),(여자)아이들
18,Bubble,STAYC(스테이씨)
19,잠시라도 우리,성시경
20,Off The Record,IVE (아이브)
21,Hype Boy,NewJeans
22,"잘 지내자, 우리 (여름날 우리 X 로이킴)",로이킴
23,Ditto,NewJeans
24,사랑은 늘 도망가,임영웅
25,Spicy,aespa
26,너의 모든 순간,성시경
27,Steal The Show (From “엘리멘탈”),Lauv
28,"이브, 프시케 그리고 푸른 수염의 아내",LE SSERAFIM (르세라핌)
29,Kitsch,IVE (아이브)
30,"어떻게 이별까지 사랑하겠어, 널 사랑하는 거지",AKMU (악뮤)
31,사건의 지평선,윤하 (YOUNHA)
32,사랑인가 봐,멜로망스
33,I Don't Think That I Like Her,Charlie Puth
34,손오공,세븐틴 (SEVENTEEN)
35,사랑하지 않아서 그랬어,임한별
36,After LIKE,IVE (아이브)
37,LOVE DIVE,IVE (아이브)
38,심(心),DK(디셈버)
39,Summer (Feat. BE’O (비오)),Paul Blanco
40,파이팅 해야지 (Feat. 이영지),부석순 (SEVENTEEN)
41,Dangerously,Charlie Puth
42,OMG,NewJeans
43,Do or Die,임영웅
44,UNFORGIVEN (feat. Nile Rodgers),LE SSERAFIM (르세라핌)
45,주저하는 연인들을 위해,잔나비
46,물론,허각
47,취중고백,김민석 (멜로망스)
48,나에게 그대만이,탑현
49,Attention,NewJeans
50,별 떨어진다 (I Do),디오 (D.O.)
51,다정히 내 이름을 부르면,경서예지
52,CAKE,ITZY (있지)
53,Still With You,정국
54,3D (feat. Jack Harlow),정국
55,해요 (2022),#안녕
56,우리들의 블루스,임영웅
57,Dynamite,방탄소년단
58,STAY,The Kid LAROI
59,꽃,지수 (JISOO)
60,모래 알갱이,임영웅
61,New Jeans,NewJeans
62,Chili,화사 (HWASA)
63,사랑..그게 뭔데,지아
64,"이쁜 여자가 좋더라 (Feat. Gist, Jayci yucca)",릴러말즈 (Leellamarz)
65,Teddy Bear,STAYC(스테이씨)
66,건물 사이에 피어난 장미 (Rose Blossom),H1-KEY (하이키)
67,다시 만날 수 있을까,임영웅
68,Vancouver 2,BIG Naughty (서동현)
69,사실말야내가말야그게그러니까말이야,케이시 (Kassy)
70,Baggy Jeans,NCT U
71,이제 나만 믿어요,임영웅
72,미친 사랑의 노래,김연지
73,I WANT,IVE (아이브)
74,Perfect Night,LE SSERAFIM (르세라핌)
75,봄날,방탄소년단
76,KIDDING,이세계아이돌
77,ANTIFRAGILE,LE SSERAFIM (르세라핌)
78,인사,범진
79,Butter,방탄소년단
80,Fact Check (불가사의; 不可思議),NCT 127
81,Love Me Again,V
82,무지개,임영웅
83,Somebody,디오 (D.O.)
84,"모든 날, 모든 순간 (Every day, Every Moment)",폴킴
85,London Boy,임영웅
86,민들레 (single ver.),우효
87,아버지,임영웅
88,가을 타나 봐,바이브
89,달빛에 그려지는,미연 ((여자)아이들)
90,Polaroid,임영웅
91,Slow Dancing,V
92,인생찬가,임영웅
93,That's Hilarious,Charlie Puth
94,SOS (Prod. Marshmello),세븐틴 (SEVENTEEN)
95,Standing Next to You,정국
96,거리에서 (Feat. ASH ISLAND),릴러말즈 (Leellamarz)
97,Better Things,aespa
98,사람 Pt.2 (feat. 아이유),Agust D
99,가을밤에 든 생각,잔나비
100,폼미쳤다,영탁
